Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0xb8bcbbc577cd216918b8bd9259c6b12821f044273dccf85353f8e4bfc872717a,16086694,1669858379,2022-12-01 01:32:59,0x8638979a5cd5986ecba456907a3c7a5144495376,0x67cea36eeb36ace126a3ca6e21405258130cf33c,5,100,Multicall
0xf917d6cff62982ecb3de8ddb7dd0e7614171541abd4d3b795ba18d1be4af0f13,16086730,1669858823,2022-12-01 01:40:23,0x2f4510c2d33c7411ed82e7e80e89879ea224dd60,0x382ffce2287252f930e1c8dc9328dac5bf282ba1,3.031527132,Proxied Swap
0xf917d6cff62982ecb3de8ddb7dd0e7614171541abd4d3b795ba18d1be4af0f13,16086730,1669858823,2022-12-01 01:40:23,0x2f4510c2d33c7411ed82e7e80e89879ea224dd60,0xe66b31678d6c16e9ebf358268a790b763c133750,300.121186071,Proxied Swap
0xf917d6cff62982ecb3de8ddb7dd0e7614171541abd4d3b795ba18d1be4af0f13,16086730,1669858823,2022-12-01 01:40:23,0xe66b31678d6c16e9ebf358268a790b763c133750,1NBVppDZBpG4ExEMBd1GCFvXvYWYLyUpyW,300.121186071,Proxied Swap
0x24c174b0750a686ad253ca0553fba5fd1428cd9af0ff4c6adc8b5033d9892a09,16086774,1669859351,2022-12-01 01:49:11,0x11b7b6b85e201d4b78e966d85764976c8f98cb14,0x67cea36eeb36ace126a3ca6e21405258130cf33c,8,547.252130723,Multicall
0x316a5b9ce0070a1d52a61facc9f8967e37c925ab05be3669fc452c4e9551e5d6,16086787,1669859507,2022-12-01 01:51:47,19rd2wqa8B413FJMyBUKJwRVqMTADGmL7W,0x2e6a8306286600e564c16aa0b7a93fced09d586a,1,685.680197146,Multicall
0x316a5b9ce0070a1d52a61facc9f8967e37c925ab05be3669fc452c4e9551e5d6,16086787,1669859507,2022-12-01 01:51:47,0x2e6a8306286600e564c16aa0b7a93fced09d586a,0x67cea36eeb36ace126a3ca6e21405258130cf33c,1,685.680197146,Multicall
0x1ca6391c309e895c7c8d9cd00c59a0379e5f408855b631b4acde7d4edc80e75d,16086800,1669859663,2022-12-01 01:54:23,0x67cea36eeb36ace126a3ca6e21405258130cf33c,0x57115f7d04c16f3983802b7c5a2d5089a188d76a,3,026.944224653,Multicall
0x00d34469ca9218dfdf56664cb1af454e67173ddb2139d1acfa5b10c18255d507,16086803,1669859699,2022-12-01 01:54:59,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,0xa28fc4f02a36a3162b44fe721b0e129be2f6ab83,5,499.678408504,Swap Exact ETH For Tokens
0x6518ac55e5ad94c04d61fa452dba3f36fbec99b5f18996bb3f9bc7a0ed692d33,16086803,1669859699,2022-12-01 01:54:59,19LCgezTLQh9j1PsyoeCTELA9TA4vCAZUu,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,2,538.078890873,-
0xb97c392d625cc8b4dc6ac6da5c6c15673264c5b5e16d8812b502bb5d1b72a46b,16086827,1669859987,2022-12-01 01:59:47,0x62979dff3b5eb032ecba1a5934d1fd4367bb695c,0xd079e0d926666716f96870651b7a304ce9e21051,1,554.480426642,Multicall
0xea80af69cf82f7502a8be2dfc0028e0a8b8d37b5157f17a635357c692419b36c,16086828,1669859999,2022-12-01 01:59:59,0x62979dff3b5eb032ecba1a5934d1fd4367bb695c,0x2bc7e5daeb0ff7e5633934e8edb13406708b5584,3,870.010621304,Multicall
0xc816b31bedc959b1cf48fc721e46d8d5e15bf83535e9814c6ad5a53178b965ef,16086842,1669860167,2022-12-01 02:02:47,0x668ec8977dffbd97a83c9eef9eafd736f6bc9e4b,0x67cea36eeb36ace126a3ca6e21405258130cf33c,11,200.49832102,Multicall
0x0a21b4db38b8e5463603c627457e6bdeb9dd5f91d0adcbe844f2ca174dd61dc0,16086848,1669860239,2022-12-01 02:03:59,0x67cea36eeb36ace126a3ca6e21405258130cf33c,0x57523eb93cf6887a79cd69207151a280cb3cb4a5,7,016.899936233,Multicall
0x60888e43fb7c9d2bfb69538fc49f606deba400376a41d91253bfb62500946d36,16086895,1669860803,2022-12-01 02:13:23,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,0xd6994e89890f31ef0ed6fb9a150c380f508d9701,1,230,Multicall
0x67bc336e7a63981eb705701a9bea485d56666cdb2d2ddb20d7288f0d47c13a83,16086902,1669860887,2022-12-01 02:14:47,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,19LCgezTLQh9j1PsyoeCTELA9TA4vCAZUu,990.867545701,Proxied Swap
0x67bc336e7a63981eb705701a9bea485d56666cdb2d2ddb20d7288f0d47c13a83,16086902,1669860887,2022-12-01 02:14:47,0xe66b31678d6c16e9ebf358268a790b763c133750,0x64d7de73ca6ec172d7c3fe8ce4af6b0f32a1de2b,990.867545701,Proxied Swap
0x8778f9e4a1de2db7c684f3550156a715e02041ef7ae7effb79fcbb4bf413e71a,16086927,1669861187,2022-12-01 02:19:47,0x798da09cc2be665bd74a2bd00c2b32650af9911b,0x382ffce2287252f930e1c8dc9328dac5bf282ba1,3.578496848,Proxied Swap
0x8778f9e4a1de2db7c684f3550156a715e02041ef7ae7effb79fcbb4bf413e71a,16086927,1669861187,2022-12-01 02:19:47,0x798da09cc2be665bd74a2bd00c2b32650af9911b,0xe66b31678d6c16e9ebf358268a790b763c133750,354.271188024,Proxied Swap
