id,created_by,enabled,last_update_date_time,time_created,updated_by,date_time,block_number,method,quantity,tx_hash,from_account_id,to_account_id
27,1,true,2023-01-15 22:50:48.839567,2023-01-15 22:50:48.839555,1,1970-01-20 08:50:58.823000,16086730,Proxied Swap,300.121186071,0xf917d6cff62982ecb3de8ddb7dd0e7614171541abd4d3b795ba18d1be4af0f13,11,24
28,1,true,2023-01-15 22:50:48.855476,2023-01-15 22:50:48.855463,1,1970-01-20 08:50:59.351000,16086774,547.252130723,8,0x24c174b0750a686ad253ca0553fba5fd1428cd9af0ff4c6adc8b5033d9892a09,27,13
29,1,true,2023-01-15 22:50:48.869558,2023-01-15 22:50:48.869549,1,1970-01-20 08:50:59.507000,16086787,685.680197146,1,0x316a5b9ce0070a1d52a61facc9f8967e37c925ab05be3669fc452c4e9551e5d6,2,28
30,1,true,2023-01-15 22:50:48.877054,2023-01-15 22:50:48.877046,1,1970-01-20 08:50:59.507000,16086787,685.680197146,1,0x316a5b9ce0070a1d52a61facc9f8967e37c925ab05be3669fc452c4e9551e5d6,28,13
31,1,true,2023-01-15 22:50:48.887558,2023-01-15 22:50:48.887551,1,1970-01-20 08:50:59.663000,16086800,026.944224653,3,0x1ca6391c309e895c7c8d9cd00c59a0379e5f408855b631b4acde7d4edc80e75d,13,29
32,1,true,2023-01-15 22:50:48.901498,2023-01-15 22:50:48.901491,1,1970-01-20 08:50:59.699000,16086803,499.678408504,5,0x00d34469ca9218dfdf56664cb1af454e67173ddb2139d1acfa5b10c18255d507,5,30
33,1,true,2023-01-15 22:50:48.912099,2023-01-15 22:50:48.911943,1,1970-01-20 08:50:59.699000,16086803,538.078890873,2,0x6518ac55e5ad94c04d61fa452dba3f36fbec99b5f18996bb3f9bc7a0ed692d33,31,5
34,1,true,2023-01-15 22:50:48.931377,2023-01-15 22:50:48.931368,1,1970-01-20 08:50:59.987000,16086827,554.480426642,1,0xb97c392d625cc8b4dc6ac6da5c6c15673264c5b5e16d8812b502bb5d1b72a46b,21,32
35,1,true,2023-01-15 22:50:48.949183,2023-01-15 22:50:48.949175,1,1970-01-20 08:50:59.999000,16086828,870.010621304,3,0xea80af69cf82f7502a8be2dfc0028e0a8b8d37b5157f17a635357c692419b36c,21,33
36,1,true,2023-01-15 22:50:48.978129,2023-01-15 22:50:48.978120,1,1970-01-20 08:51:00.167000,16086842,200.49832102,11,0xc816b31bedc959b1cf48fc721e46d8d5e15bf83535e9814c6ad5a53178b965ef,34,13
37,1,true,2023-01-15 22:50:49.001757,2023-01-15 22:50:49.001745,1,1970-01-20 08:51:00.239000,16086848,016.899936233,7,0x0a21b4db38b8e5463603c627457e6bdeb9dd5f91d0adcbe844f2ca174dd61dc0,13,35
38,1,true,2023-01-15 22:50:49.020976,2023-01-15 22:50:49.020968,1,1970-01-20 08:51:00.803000,16086895,230,1,0x60888e43fb7c9d2bfb69538fc49f606deba400376a41d91253bfb62500946d36,5,36
39,1,true,2023-01-15 22:50:49.034112,2023-01-15 22:50:49.034100,1,1970-01-20 08:51:00.887000,16086902,Proxied Swap,990.867545701,0x67bc336e7a63981eb705701a9bea485d56666cdb2d2ddb20d7288f0d47c13a83,5,31
40,1,true,2023-01-15 22:50:49.046275,2023-01-15 22:50:49.046268,1,1970-01-20 08:51:00.887000,16086902,Proxied Swap,990.867545701,0x67bc336e7a63981eb705701a9bea485d56666cdb2d2ddb20d7288f0d47c13a83,11,37
41,1,true,2023-01-15 22:50:49.061650,2023-01-15 22:50:49.061642,1,1970-01-20 08:51:01.187000,16086927,Proxied Swap,3.578496848,0x8778f9e4a1de2db7c684f3550156a715e02041ef7ae7effb79fcbb4bf413e71a,38,10
42,1,true,2023-01-15 22:50:49.072895,2023-01-15 22:50:49.072887,1,1970-01-20 08:51:01.187000,16086927,Proxied Swap,354.271188024,0x8778f9e4a1de2db7c684f3550156a715e02041ef7ae7effb79fcbb4bf413e71a,38,11
43,1,true,2023-01-15 22:50:49.082788,2023-01-15 22:50:49.082775,1,1970-01-20 08:51:01.187000,16086927,Proxied Swap,354.271188024,0x8778f9e4a1de2db7c684f3550156a715e02041ef7ae7effb79fcbb4bf413e71a,11,5
44,1,true,2023-01-15 22:50:49.105526,2023-01-15 22:50:49.105516,1,1970-01-20 08:51:01.427000,16086947,044.969167423,2,0x75c0c20e6b708f192990d7ec6d0dcf914a1fb8c0a7fdf48abf716d3820116e46,39,5
45,1,true,2023-01-15 22:50:49.121548,2023-01-15 22:50:49.121540,1,1970-01-20 08:51:01.475000,16086951,358.949562238,7,0xddf883fd5cb3ac3382001e14c31d3686e397836f9963b578575c3d761955e2aa,5,40
46,1,true,2023-01-15 22:50:49.127223,2023-01-15 22:50:49.127211,1,1970-01-20 08:51:01.475000,16086951,946.295955975,21,0xddf883fd5cb3ac3382001e14c31d3686e397836f9963b578575c3d761955e2aa,4,40
47,1,true,2023-01-15 22:50:49.134444,2023-01-15 22:50:49.134425,1,1970-01-20 08:51:01.475000,16086951,328.072610814,7,0xddf883fd5cb3ac3382001e14c31d3686e397836f9963b578575c3d761955e2aa,21,40
48,1,true,2023-01-15 22:50:49.140792,2023-01-15 22:50:49.140649,1,1970-01-20 08:51:01.475000,16086951,397.701976712,110,0xddf883fd5cb3ac3382001e14c31d3686e397836f9963b578575c3d761955e2aa,13,40
49,1,true,2023-01-15 22:50:49.164533,2023-01-15 22:50:49.164526,1,1970-01-20 08:51:01.475000,16086951,031.020105739,147,0xddf883fd5cb3ac3382001e14c31d3686e397836f9963b578575c3d761955e2aa,40,41
50,1,true,2023-01-15 22:50:49.178337,2023-01-15 22:50:49.178328,1,1970-01-20 08:51:01.511000,16086954,081.19,18,0x48ab0c812693d03d9235a3b3cf1e448bc1de61a34f10adc5e5b58c4bca54fda0,42,43
